callsign,frequency,site,state,county_state,latitude,longitude,county,county_label,county_geoid
KEC91,162.400,Naselle Ridge,OR,WA,46.4214,-123.796056,Pacific,Pacific County,53049
KEC92,162.475,Delmar,DE,DE,38.504444,-75.643056,Sussex,Sussex County,10005
KEC93,162.400,Ellsworth,ME,ME,44.545833,-68.511944,Hancock,Hancock County,23009
KEC94,162.550,South Mtn.,AZ,AZ,33.332778,-112.066944,Maricopa,Maricopa County,04013
KEC95,162.400,Conway/Myrtle Beach,NC,SC,33.950722,-79.108459,Horry,Horry County,45051
KGG67,162.550,Courtney Point,FL,FL,30.1472,-85.7128,Bay,Bay County,12005
KGG68,162.400,Tomball,TX,TX,30.0964,-95.6564,Harris,Harris County,48201
KGG86,162.475,Fountain Hill,AR,AR,33.3894,-91.853889,Ashley,Ashley County,05003
KGG94,162.425,Poplar,MT,MT,48.290556,-105.251944,Roosevelt,Roosevelt County,30085
KGG95,162.425,Fountain City,MN,WI,44.0739,-91.5775,Buffalo,Buffalo County,55011
KGG97,162.500,Courthouse,MT,MT,45.679722,-111.041667,Gallatin,Gallatin County,30031
KGG98,162.425,Waverly,KS,KS,38.335,-95.6744,Coffey,Coffey County,20031
KGG99,162.425,Lexington,NE,NE,40.695028,-99.817389,Gosper,Gosper County,31073
KHA35,162.525,Orangeburg,SC,SC,33.543083,-80.824229,Orangeburg,Orangeburg County,45075
KHA46,162.450,Hollow Rock,KY,TN,36.137194,-88.261,Carroll,Carroll County,47017
KHA47,162.450,Baraboo,WI,WI,43.427778,-89.653889,Sauk,Sauk County,55111
KHA53,162.400,Fairport,NY,NY,43.036111,-77.423333,Monroe,Monroe County,36055
KHA55,162.525,Oshkosh (Ag.),NE,NE,41.340278,-102.399167,Garden,Garden County,31069
KHA99,162.425,Muenster,OK,TX,33.64997,-97.339722,Cooke,Cooke County,48097
KHB29,162.550,Awendaw,SC,SC,32.9244,-79.699444,Charleston,Charleston County,45019
KHB30,162.475,Harney,OR,OR,43.572639,-119.131528,Harney,Harney County,41025
KHB31,162.550,Winnabow,NC,NC,34.1316,-78.187778,Brunswick,Brunswick County,37019
KHB32,162.550,Ruskin,FL,FL,27.842533,-82.262472,Hillsborough,Hillsborough County,12057
KHB33,162.400,Pharr,TX,TX,26.211222,-98.18875,Hidalgo,Hidalgo County,48215
KHB34,162.550,Miami/Andover,FL,FL,25.967861,-80.209333,Miami-Dade,Miami-Dade County,12086
KHB35,162.475,Great Blue Hill,MA,MA,42.211928,-71.113649,Norfolk,Norfolk County,25021
KHB36,162.550,Independent Hill,DC,VA,38.628722,-77.438833,Prince William,Prince William County,51153
KHB37,162.550,Driver,NC,VA,36.815556,-76.466667,Suffolk,Suffolk city,51800
KHB38,162.400,Atlantic City,NJ,NJ,39.37895,-74.447744,Atlantic,Atlantic County,34001
KHB39,162.550,Jacksonville,FL,FL,30.2761,-81.5647,Duval,Duval County,12031
KHB40,162.550,Galveston,TX,TX,29.293528,-94.833472,Galveston,Galveston County,48167
KHB41,162.550,Rockport,TX,TX,28.00513,-97.09667,Aransas,Aransas County,48007
KHB42,162.400,Westlake,LA,LA,30.221222,-93.3114,Calcasieu,Calcasieu Parish,22019
KHB43,162.550,New Orleans,LA,LA,29.95287,-90.06717,Orleans,Orleans Parish,22071
KHB46,162.400,Baker,LA,LA,30.44325,-91.18197,East Baton Rouge,East Baton Rouge Parish,22033
KHB47,162.550,Uncasville,CT,CT,41.440833,-72.141389,Southeastern Connecticut,Southeastern Connecticut Planning Region,09180
KHB49,162.400,Mount Pise,CA,CA,37.450556,-122.338333,San Mateo,San Mateo County,06081
KHB52,162.500,Wayne CO Courthouse,IN,IN,39.8283,-84.8975,Wayne,Wayne County,18177
KHB53,162.500,Brockway,MT,MT,47.306111,-106.914444,Garfield,Garfield County,30033
KHB54,162.550,Milo,ME,ME,45.247591,-69.01068,Piscataquis,Piscataquis County,23021
KHB55,162.475,Frenchville,ME,ME,47.286944,-68.314167,Aroostook,Aroostook County,23003
KHB59,162.550,Chesterland,OH,OH,41.522778,-81.328611,Geauga,Geauga County,39055
KHB60,162.550,Cougar Mtn.,WA,WA,47.5436,-122.108694,King,King County,53033
KHB97,162.400,Bellevue,OH,OH,41.238611,-82.837694,Huron,Huron County,39077
KHC26,162.550,Linsay,MT,MT,47.276944,-105.391667,Dawson,Dawson County,30021
KHC27,162.425,York,NC,SC,34.839722,-81.018333,York,York County,45091
KHC28,162.425,Greenwood County,GA,SC,33.9975,-82.051944,Greenwood,Greenwood County,45047
KHC29,162.500,Barnwell,GA,SC,33.187679,-81.397073,Barnwell,Barnwell County,45011
KHC47,162.425,Meddybemps,ME,ME,45.028889,-67.322778,Washington,Washington County,23029
KHC49,162.525,Barnes Hill,NY,NY,42.511389,-75.468056,Chenango,Chenango County,36017
KID77,162.550,Independence,KS,MO,39.0905,-94.472,Jackson,Jackson County,29095
KIG60,162.400,Mt. Mansfield,NY,VT,44.526667,-72.815833,Lamoille,Lamoille County,50015
KIG64,162.550,Arnold Site,MN,MN,46.786944,-92.114444,St. Louis,St. Louis County,27137
KIG65,162.550,De Pere,WI,WI,44.409722,-88.001389,Brown,Brown County,55009
KIG66,162.550,Negaunee,MI,MI,46.514167,-87.481667,Marquette,Marquette County,26103
KIG74,162.550,Dafter,MI,MI,46.377042,-84.425094,Chippewa,Chippewa County,26033
KIG75,162.550,Ahtanum Ridge,WA,WA,46.6405,-120.39725,Yakima,Yakima County,53077
KIG76,162.550,Haubstadt,IL,IN,38.18,-87.486944,Gibson,Gibson County,18051
KIG77,162.475,Middletown,NC,NC,35.2458,-75.5339,Dare,Dare County,37055
KIG78,162.400,Riverside County,CA,CA,33.654889,-115.990222,Riverside,Riverside County,06065
KIG79,162.550,Nashville,TN,TN,36.164083,-86.78475,Davidson,Davidson County,47037
KIG83,162.550,Herron,MI,MI,45.062833,-83.717306,Alpena,Alpena County,26007
KIG86,162.550,Columbus,OH,OH,39.9631,-82.9994,Franklin,Franklin County,39049
KIG98,162.550,Goat Mtn.,OR,OR,45.131167,-122.291472,Clackamas,Clackamas County,41005
KIH20,162.400,Huntsville,AL,AL,34.737778,-86.533889,Madison,Madison County,01089
KIH21,162.400,Gulfport,MS,MS,30.38433,-89.09583,Harrison,Harrison County,28047
KIH22,162.400,Traverse City,MI,MI,44.760442,-85.682994,Grand Traverse,Grand Traverse County,26055
KIH23,162.475,Morgan City,LA,LA,29.75436,-91.17377,St. Martin,St. Martin Parish,22099
KIH24,162.400,Tallahassee,FL,FL,30.566667,-84.043889,Leon,Leon County,12073
KIH26,162.400,Bumcombe Hill,FL,FL,29.1737,-81.157,Volusia,Volusia County,12127
KIH27,162.550,Coweta,OK,OK,36.021083,-95.656278,Wagoner,Wagoner County,40145
KIH28,162.475,Philadelphia,DE,PA,39.9517,-75.160833,Philadelphia,Philadelphia County,42101
